Set parameter TimeLimit to value 7200
Setting GBD: A two-stage implementation of the stage-of-the-art generalized Benders decomposition (GBD) approach proposed by Lin & Tian (2021).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
483         1517714.513    1892117.677    19.8     692.2         1
484         1517714.513    1892117.677    19.8     693.9         1
485         1517714.513    1892117.677    19.8     695.4         1
486         1517714.513    1892117.677    19.8     696.9         1
487         1517714.513    1892117.677    19.8     698.4         1
488         1517714.513    1892117.677    19.8     700.0         1
489         1517714.513    1892117.677    19.8     701.6         1
490         1517714.513    1892117.677    19.8     703.2         1
491         1517714.513    1892117.677    19.8     704.8         1
492         1517714.513    1892117.677    19.8     706.3         1
493         1517714.513    1892117.677    19.8     707.9         1
494         1517714.513    1892117.677    19.8     709.6         1
495         1517714.513    1892117.677    19.8     711.2         1
496         1517714.513    1892117.677    19.8     712.7         1
497         1517714.513    1892117.677    19.8     714.2         1
498         1517714.513    1892117.677    19.8     715.8         1
499         1517714.513    1892117.677    19.8     717.3         1
500         1517714.513    1892117.677    19.8     718.9         1
501         1517714.513    1892117.677    19.8     720.4         1
502         1517714.513    1892117.677    19.8     721.9         1
503         1517714.513    1892117.677    19.8     723.7         1
504         1517714.513    1892117.677    19.8     725.6         1
505         1517714.513    1892117.677    19.8     727.5         1
506         1517714.513    1892117.677    19.8     729.4         1
507         1517714.513    1892117.677    19.8     731.3         1
508         1517714.513    1892117.677    19.8     733.3         1
509         1517714.513    1892117.677    19.8     735.1         1
510         1517714.513    1892117.677    19.8     736.8         1
511         1517714.513    1892117.677    19.8     738.6         1
512         1517714.513    1892117.677    19.8     740.2         1
513         1517714.513    1892117.677    19.8     741.8         1
514         1517714.513    1892117.677    19.8     743.3         1
515         1517714.513    1892117.677    19.8     745.0         1
516         1517714.513    1892117.677    19.8     746.5         1
517         1517714.513    1892117.677    19.8     748.1         1
518         1517714.513    1892117.677    19.8     749.6         1
519         1517714.513    1892117.677    19.8     751.2         1
520         1517714.513    1892117.677    19.8     752.8         1
521         1517714.513    1892117.677    19.8     754.6         1
522         1517714.513    1892117.677    19.8     756.3         1
523         1517714.513    1892117.677    19.8     758.2         1
524         1517714.513    1892117.677    19.8     760.1         1
525         1517714.513    1892117.677    19.8     762.2         1
526         1517714.513    1892117.677    19.8     764.3         1
527         1517714.513    1892117.677    19.8     766.1         1
528         1517714.513    1892117.677    19.8     768.0         1
529         1517714.513    1892117.677    19.8     769.7         1
530         1517714.513    1892117.677    19.8     771.5         1
531         1517714.513    1892117.677    19.8     773.3         1
532         1517714.513    1892117.677    19.8     775.1         1
533         1517714.513    1892117.677    19.8     776.7         1
534         1517714.513    1892117.677    19.8     778.5         1
535         1517714.513    1892117.677    19.8     780.3         1
536         1517714.513    1892117.677    19.8     782.3         1
537         1517714.513    1892117.677    19.8     784.3         1
538         1517714.513    1892117.677    19.8     786.2         1
539         1517714.513    1892117.677    19.8     788.1         1
540         1517714.513    1892117.677    19.8     790.1         1
541         1517714.513    1892117.677    19.8     792.0         1
542         1517714.513    1892117.677    19.8     793.8         1
543         1517714.513    1892117.677    19.8     795.6         1
544         1517714.513    1892117.677    19.8     797.6         1
545         1517714.513    1892117.677    19.8     799.6         1
546         1517714.513    1892117.677    19.8     801.2         1
547         1517714.513    1892117.677    19.8     802.8         1
548         1517714.513    1892117.677    19.8     804.4         1
549         1517714.513    1892117.677    19.8     806.0         1
550         1517714.513    1892117.677    19.8     807.7         1
551         1517714.513    1892117.677    19.8     809.3         1
552         1517714.513    1892117.677    19.8     810.9         1
553         1517714.513    1892117.677    19.8     812.6         1
554         1517714.513    1892117.677    19.8     814.4         1
555         1517714.513    1892117.677    19.8     816.0         1
556         1517714.513    1892117.677    19.8     817.7         1
557         1517714.513    1892117.677    19.8     819.4         1
