    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 18916 12983 177860.217   28  104 175978.728 178145.363  1.23%  91.3 1310s
 18983 13032 177563.010   30   99 175978.728 178144.911  1.23%  91.3 1315s
 19059 13086 176975.365   31   90 175978.728 178143.924  1.23%  91.4 1320s
 19143 13152 176893.528   37  100 175978.728 178143.575  1.23%  91.4 1325s
 19254 13195 177053.758   33   99 175978.728 178143.114  1.23%  91.2 1330s
 19339 13262 176398.107   49   84 175978.728 178142.298  1.23%  91.2 1335s
 19417 13320 176419.686   49   83 175978.728 178140.555  1.23%  91.2 1340s
 19496 13368 177518.189   28  101 175978.728 178139.336  1.23%  91.2 1345s
 19595 13443 178011.203   25  108 175978.728 178138.659  1.23%  91.2 1350s
 19662 13496 176036.501   52   90 175978.728 178138.634  1.23%  91.1 1355s
 19742 13540 177821.224   28  107 175978.728 178137.513  1.23%  91.1 1360s
 19815 13591 177489.393   29  106 175978.728 178136.480  1.23%  91.1 1365s
 19913 13661 177922.306   26  114 175978.728 178136.018  1.23%  91.1 1370s
 19993 13733 176296.940   51   48 175978.728 178135.488  1.23%  91.0 1375s
 20104 13798 176929.343   35   94 175978.728 178135.076  1.23%  90.9 1380s
 20187 13853 176742.332   40  101 175978.728 178134.782  1.23%  90.9 1385s
 20259 13907 176547.470   39   96 175978.728 178133.604  1.22%  90.9 1390s
 20342 13964 177237.071   36   99 175978.728 178131.769  1.22%  90.9 1395s
 20444 14045 177413.424   31  107 175978.728 178131.418  1.22%  90.9 1400s
 20511 14094 177008.846   39  104 175978.728 178131.104  1.22%  90.9 1405s
 20590 14151 177308.011   33  106 175978.728 178129.572  1.22%  90.9 1410s
 20665 14208 177162.368   33   99 175978.728 178128.671  1.22%  91.0 1415s
 20752 14268 177994.095   25  114 175978.728 178126.385  1.22%  91.0 1420s
 20833 14328 176975.832   31   81 175978.728 178125.503  1.22%  91.1 1425s
 20928 14400 177473.808   28  102 175978.728 178124.750  1.22%  91.1 1430s
 20990 14451 176011.337   59   79 175978.728 178124.014  1.22%  91.1 1435s
 21046 14472 177474.047   27  109 175978.728 178123.304  1.22%  91.1 1440s
 21119 14521 177938.141   24  111 175978.728 178122.276  1.22%  91.1 1445s
 21191 14573 177715.248   29  110 175978.728 178121.200  1.22%  91.1 1450s
 21279 14650 176490.168   44   97 175978.728 178121.195  1.22%  91.1 1455s
 21293 14654 177527.744   32  101 175978.728 178119.736  1.22%  91.1 1460s
 21294 14655 177452.837   33  101 175978.728 178119.736  1.22%  91.1 1465s
 21296 14657 177336.106   35   95 175978.728 178119.736  1.22%  91.1 1471s
 21305 14666 176384.416   44   89 175978.728 178119.736  1.22%  91.1 1475s
 21394 14717 177712.735   26   96 175978.728 178118.402  1.22%  91.1 1480s
 21482 14777 177876.853   25  119 175978.728 178117.545  1.22%  91.1 1485s
 21559 14836 176969.141   34   96 175978.728 178117.137  1.22%  91.1 1490s
 21640 14887 176833.253   34  102 175978.728 178115.528  1.21%  91.1 1495s
 21723 14950 177330.287   29  104 175978.728 178114.551  1.21%  91.1 1500s
 21801 15003 176829.829   39  106 175978.728 178113.676  1.21%  91.1 1505s
 21886 15050 176517.269   31   95 175978.728 178113.540  1.21%  91.1 1510s
 21969 15096 177921.775   25  112 175978.728 178112.120  1.21%  91.1 1515s
 22052 15157 177202.415   30   90 175978.728 178111.023  1.21%  91.1 1520s
 22139 15222 177229.876   28   90 175978.728 178110.574  1.21%  91.1 1525s
 22237 15290 176927.685   32   90 175978.728 178109.902  1.21%  91.1 1530s
 22313 15338 177058.121   36  101 175978.728 178108.092  1.21%  91.1 1535s
 22397 15397 176782.489   36   93 175978.728 178107.596  1.21%  91.0 1540s
 22497 15457 177426.073   32  100 175978.728 178106.848  1.21%  91.1 1545s
 22573 15519 176241.009   45  100 175978.728 178106.229  1.21%  91.1 1550s
 22644 15562 177683.846   27   99 175978.728 178105.617  1.21%  91.1 1555s
 22729 15626 176545.514   35   74 175978.728 178105.448  1.21%  91.1 1560s
 22804 15670 176572.751   41   88 175978.728 178105.207  1.21%  91.1 1565s
 22883 15727 176712.820   37   89 175978.728 178104.417  1.21%  91.1 1570s
 22979 15797 177846.978   29  111 175978.728 178103.574  1.21%  91.1 1575s
 23060 15856 177187.137   37  105 175978.728 178103.315  1.21%  91.1 1580s
 23142 15906 176055.834   53   86 175978.728 178102.675  1.21%  91.1 1585s
 23212 15954 177581.977   28  103 175978.728 178102.077  1.21%  91.1 1590s
 23297 16012 176421.864   38   87 175978.728 178101.365  1.21%  91.1 1595s
 23383 16078 176648.190   32   87 175978.728 178101.110  1.21%  91.1 1600s
