Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0xcab6f26f
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [9e-06, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.249407e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2783   886 247060.921   27  128 246941.036 247440.586  0.20%   128  605s
  2806   891 247028.992   24  132 246941.036 247438.748  0.20%   129  610s
  2829   895 247207.381   20  142 246941.036 247438.023  0.20%   129  616s
  2856   901 247088.693   19  139 246941.036 247436.258  0.20%   129  621s
  2883   911 247072.852   24  108 246941.036 247430.290  0.20%   129  626s
  2910   918 247131.344   19  132 246941.036 247427.462  0.20%   129  631s
  2938   924 247084.339   22  128 246941.036 247425.862  0.20%   129  635s
  2974   928 247326.101   18  143 246941.036 247421.281  0.19%   129  640s
  2997   933 247302.496   22  139 246941.036 247420.969  0.19%   129  649s
  3003   939 247148.281   28  128 246941.036 247420.969  0.19%   129  650s
  3029   946 247044.667   27  118 246941.036 247420.653  0.19%   129  655s
  3084   961 247332.619   23  129 246941.036 247416.910  0.19%   128  660s
  3131   981 247207.702   24  127 246941.036 247415.050  0.19%   128  665s
  3166   993 247287.409   18  142 246941.036 247413.288  0.19%   128  670s
  3206  1003 247341.579   22  127 246941.036 247410.560  0.19%   128  675s
  3259  1025 247153.636   18  144 246941.036 247409.559  0.19%   128  680s
  3305  1035 247145.484   20  146 246941.036 247398.364  0.19%   128  685s
  3336  1043     cutoff   21      246941.036 247396.625  0.18%   128  690s
  3392  1057 247219.923   27  130 246941.036 247393.983  0.18%   128  695s
  3422  1058 247206.327   23  118 246941.036 247393.355  0.18%   128  700s
  3462  1070 246953.173   27  112 246941.036 247392.664  0.18%   128  705s
  3498  1078 247115.643   25  126 246941.036 247390.683  0.18%   128  710s
  3538  1092 247128.542   24  123 246941.036 247388.320  0.18%   128  715s
  3579  1104 246950.024   20  136 246941.036 247384.522  0.18%   128  720s
  3601  1109 246977.310   30  113 246941.036 247384.090  0.18%   128  725s
  3606  1108 247342.920   22  119 246941.036 247383.898  0.18%   128  730s
  3640  1121 247064.689   25  132 246941.036 247379.745  0.18%   128  735s
  3689  1142 246973.740   26  109 246941.036 247378.455  0.18%   128  740s
  3725  1151 247193.945   21  133 246941.036 247374.642  0.18%   128  745s
  3768  1157 247287.872   23  134 246941.036 247371.633  0.17%   128  750s
  3812  1172 247050.005   24  118 246941.036 247371.259  0.17%   128  755s
  3854  1182 247210.461   21  140 246941.036 247367.108  0.17%   128  760s
  3899  1190     cutoff   26      246941.036 247365.936  0.17%   128  765s
  3932  1193 247167.282   20  136 246941.036 247363.855  0.17%   128  771s
  3954  1198 246965.707   20  145 246941.036 247362.505  0.17%   128  775s
  3984  1201     cutoff   22      246941.036 247361.181  0.17%   128  780s
  3988  1205 247019.945   26  133 246941.036 247361.087  0.17%   128  785s
  4017  1211 247022.349   28  129 246941.036 247360.098  0.17%   128  790s
  4070  1218 247232.312   17  136 246941.036 247356.948  0.17%   128  795s
  4124  1222 247233.802   24  127 246941.036 247355.523  0.17%   128  800s
  4174  1232     cutoff   29      246941.036 247352.988  0.17%   128  805s
  4224  1242 247059.669   24  116 246941.036 247350.528  0.17%   128  810s
  4240  1243 247123.886   21  127 246941.036 247348.477  0.16%   128  818s
  4250  1245 247019.740   19  139 246941.036 247348.033  0.16%   128  822s
  4270  1243 247058.712   19  146 246941.036 247346.944  0.16%   128  825s
  4316  1254 246960.159   24  144 246941.036 247345.543  0.16%   128  830s
  4377  1264 247188.446   20  147 246941.036 247343.018  0.16%   127  835s
  4428  1271 247221.760   19  142 246941.036 247341.307  0.16%   127  840s
  4488  1283 247098.623   25  115 246941.036 247339.120  0.16%   127  845s
  4537  1294 247016.178   24  125 246941.036 247336.219  0.16%   127  850s
  4556  1297 247218.556   18  145 246941.036 247334.484  0.16%   127  855s
  4602  1307 246997.293   29  118 246941.036 247333.744  0.16%   127  860s
  4643  1313 246942.362   25  123 246941.036 247332.655  0.16%   127  865s
  4689  1312 247218.778   23  133 246941.036 247331.798  0.16%   128  870s
  4740  1330 247016.891   28  112 246941.036 247329.544  0.16%   127  875s
  4770  1329 247082.934   23  130 246941.036 247327.784  0.16%   127  882s
  4798  1325     cutoff   22      246941.036 247326.608  0.16%   127  885s
  4844  1331 247271.074   21  134 246941.036 247324.327  0.16%   127  890s
  4884  1340 246993.354   23  130 246941.036 247319.092  0.15%   127  895s
  4928  1345 246971.908   24  110 246941.036 247318.508  0.15%   127  900s
  4985  1347 247043.684   19  140 246941.036 247317.801  0.15%   127  905s
  5016  1349 247096.875   20  140 246941.036 247316.369  0.15%   127  910s
  5054  1357 247086.310   23  124 246941.036 247315.647  0.15%   127  915s
  5101  1359 247057.930   24  118 246941.036 247312.714  0.15%   127  920s
  5110  1356 247232.501   24  127 246941.036 247311.863  0.15%   128  926s
  5141  1357 247066.895   19  144 246941.036 247311.208  0.15%   127  930s
  5157  1360 246946.061   22  138 246941.036 247310.739  0.15%   127  936s
  5188  1359     cutoff   27      246941.036 247310.586  0.15%   127  940s
  5247  1362 247175.506   22  125 246941.036 247307.095  0.15%   127  945s
  5299  1373 247051.862   23  127 246941.036 247304.417  0.15%   127  950s
  5351  1379 247091.379   28  118 246941.036 247302.814  0.15%   127  955s
  5390  1382 246984.616   26  119 246941.036 247301.723  0.15%   127  960s
  5434  1385 246962.353   26  118 246941.036 247299.317  0.15%   127  965s
  5482  1389 247133.184   20  140 246941.036 247298.062  0.14%   127  970s
  5535  1391 247050.794   24  131 246941.036 247296.451  0.14%   127  975s
  5604  1392 247084.250   20  134 246941.036 247296.059  0.14%   126  980s
  5614  1392 247139.219   25  121 246941.036 247295.503  0.14%   126  986s
  5647  1400 246967.762   22  138 246941.036 247294.357  0.14%   127  990s
  5704  1409 247117.347   21  134 246941.036 247291.831  0.14%   126  995s
  5759  1423 247062.646   28  113 246941.036 247290.398  0.14%   127 1000s
  5803  1424     cutoff   19      246941.036 247288.260  0.14%   127 1005s
  5850  1433 247033.868   20  140 246941.036 247287.036  0.14%   127 1010s
  5904  1443 247226.413   18  155 246941.036 247285.971  0.14%   127 1015s
  5942  1447 247122.695   24  132 246941.036 247285.522  0.14%   127 1026s
  5965  1453 246965.784   23  132 246941.036 247285.303  0.14%   127 1030s
  6000  1448 247127.844   21  129 246941.036 247284.564  0.14%   127 1035s
  6044  1451 246970.125   20  148 246941.036 247283.952  0.14%   128 1040s
  6057  1449 247076.990   19  141 246941.036 247283.698  0.14%   128 1045s
  6107  1454 247068.887   22  126 246941.036 247282.528  0.14%   128 1050s
  6156  1458 247138.954   22  125 246941.036 247278.140  0.14%   128 1055s
  6201  1462 247058.047   23  130 246941.036 247277.066  0.14%   128 1060s
  6243  1468 247017.688   23  125 246941.036 247275.107  0.14%   128 1065s
