    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  6904  4502 246732.454   39  125 245606.547 247943.276  0.95%   129  945s
  6945  4528 247509.140   24  144 245606.547 247942.888  0.95%   129  950s
  6977  4560 246163.101   56  106 245606.547 247942.888  0.95%   129  955s
  6998  4573 246781.239   35  113 245606.547 247940.690  0.95%   129  960s
  7029  4594 247473.747   24  142 245606.547 247940.561  0.95%   129  966s
  7054  4619 246249.869   49  113 245606.547 247940.561  0.95%   129  970s
  7079  4634 247371.699   28  133 245606.547 247938.838  0.95%   129  975s
  7120  4675 245637.858   69   98 245606.547 247938.838  0.95%   129  980s
  7149  4692 246402.052   40  128 245606.547 247938.838  0.95%   129  986s
  7173  4706 247248.865   28  124 245606.547 247931.555  0.95%   129  990s
  7206  4739 246151.975   48   97 245606.547 247931.555  0.95%   129  995s
  7251  4774 246847.496   31  128 245606.547 247929.591  0.95%   129 1001s
  7282  4796 247421.548   24  134 245606.547 247926.264  0.94%   129 1005s
  7304  4818 246322.786   46  107 245606.547 247926.264  0.94%   129 1010s
  7336  4838 247038.325   27  131 245606.547 247925.794  0.94%   130 1015s
  7358  4860 245983.714   49   98 245606.547 247925.794  0.94%   130 1020s
  7390  4884 246801.257   37  124 245606.547 247925.289  0.94%   130 1025s
  7423  4906 247514.478   22  136 245606.547 247924.772  0.94%   130 1030s
  7454  4937 245787.879   53   99 245606.547 247924.772  0.94%   130 1035s
  7470  4946 246748.595   37  111 245606.547 247922.543  0.94%   130 1040s
  7511  4976 247528.752   23  136 245606.547 247922.195  0.94%   130 1045s
  7535  5000 247045.797   35  119 245606.547 247922.195  0.94%   130 1050s
  7566  5031 246090.982   50  108 245606.547 247922.195  0.94%   130 1055s
  7616  5064 247136.711   28  123 245606.547 247922.160  0.94%   130 1060s
  7645  5093 245662.388   57  101 245606.547 247922.160  0.94%   130 1065s
  7665  5100 246946.108   28  131 245606.547 247919.790  0.94%   130 1070s
  7681  5116 245783.866   44  113 245606.547 247919.790  0.94%   131 1075s
  7723  5142 247411.436   19  158 245606.547 247918.390  0.94%   131 1080s
  7746  5165 246782.224   32  131 245606.547 247918.390  0.94%   131 1085s
  7783  5202 246276.803   44  123 245606.547 247918.390  0.94%   131 1090s
  7814  5233 245852.018   55  107 245606.547 247918.390  0.94%   132 1095s
  7854  5235 247222.102   21  149 245606.547 247917.991  0.94%   132 1100s
