    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 20582 14403 224977.041   37  154 223462.540 225260.229  0.80%   104 1340s
 20670 14481 223668.027   57  124 223462.540 225259.990  0.80%   104 1345s
 20769 14533 224621.245   43  144 223462.540 225258.895  0.80%   104 1350s
 20871 14609 223924.900   58  112 223462.540 225258.628  0.80%   104 1355s
 20964 14675     cutoff   64      223462.540 225257.579  0.80%   104 1360s
 21061 14732 224576.711   48  128 223462.540 225256.665  0.80%   104 1365s
 21159 14803 224876.872   34  144 223462.540 225256.017  0.80%   104 1370s
 21252 14876 223827.658   52  119 223462.540 225255.484  0.80%   104 1375s
 21358 14944 224790.446   43  146 223462.540 225254.943  0.80%   104 1380s
 21438 15003 224360.812   41  134 223462.540 225254.187  0.80%   104 1385s
 21532 15067 224035.411   55   98 223462.540 225253.600  0.80%   104 1390s
 21638 15140 224988.031   34  154 223462.540 225253.312  0.80%   104 1395s
 21736 15193 225101.230   34  156 223462.540 225252.453  0.80%   104 1400s
 21817 15256 224523.352   40  144 223462.540 225251.406  0.80%   104 1405s
 21907 15324 224337.736   46  120 223462.540 225251.152  0.80%   104 1410s
 21996 15395 224180.046   49  122 223462.540 225250.509  0.80%   104 1415s
 22103 15482 224211.013   54  128 223462.540 225249.353  0.80%   104 1420s
 22203 15548 224743.368   40  130 223462.540 225247.473  0.80%   104 1425s
 22302 15627 223849.384   58  123 223462.540 225246.955  0.80%   104 1430s
 22375 15688 224060.874   62  101 223462.540 225246.856  0.80%   104 1435s
 22470 15749 225203.313   35  159 223462.540 225246.434  0.80%   104 1440s
 22584 15836 224946.642   29  152 223462.540 225246.179  0.80%   104 1445s
 22664 15902 223931.317   57  104 223462.540 225246.148  0.80%   104 1450s
 22794 15963 224961.988   34  153 223462.540 225245.650  0.80%   104 1455s
 22878 16029 223842.232   53  117 223462.540 225244.690  0.80%   104 1460s
 22978 16101     cutoff   65      223462.540 225244.549  0.80%   104 1465s
 23046 16157 225112.411   34  153 223462.540 225244.109  0.80%   104 1470s
 23126 16216 225065.229   28  153 223462.540 225242.675  0.80%   104 1475s
 23216 16284 224432.072   42  129 223462.540 225242.384  0.80%   104 1480s
 23308 16355 223815.071   58  126 223462.540 225241.195  0.80%   104 1485s
 23376 16404 224115.716   59  124 223462.540 225239.553  0.80%   104 1490s
 23486 16488 223509.485   65   81 223462.540 225238.837  0.79%   104 1495s
 23592 16556 224261.786   41  126 223462.540 225238.201  0.79%   104 1500s
 23716 16623 223515.018   58  116 223462.540 225237.900  0.79%   104 1505s
 23804 16663 225026.581   33  156 223462.540 225237.011  0.79%   104 1510s
 23903 16739 224478.992   44  135 223462.540 225235.864  0.79%   104 1515s
 24034 16834 224999.642   37  148 223462.540 225235.180  0.79%   104 1520s
 24109 16896 224562.265   38  133 223462.540 225235.085  0.79%   104 1525s
 24205 16966 223933.079   54  119 223462.540 225234.361  0.79%   104 1530s
 24288 17022 224690.462   36  131 223462.540 225233.230  0.79%   104 1535s
 24387 17087 223611.359   55   90 223462.540 225232.812  0.79%   104 1540s
 24504 17183 223701.124   60  101 223462.540 225232.365  0.79%   104 1545s
 24613 17258 224365.813   45  144 223462.540 225231.171  0.79%   104 1550s
 24708 17314     cutoff   53      223462.540 225229.742  0.79%   104 1555s
 24747 17343 224999.651   36  152 223462.540 225229.139  0.79%   104 1560s
 24833 17407 224564.865   38  130 223462.540 225228.817  0.79%   104 1565s
 24934 17484 224007.206   56  113 223462.540 225228.269  0.79%   104 1570s
 25026 17554 223546.038   67  106 223462.540 225227.966  0.79%   104 1575s
 25102 17610 223888.920   66  107 223462.540 225227.750  0.79%   104 1580s
 25198 17680 224826.955   38  153 223462.540 225227.343  0.79%   104 1585s
 25282 17742 223637.395   58  122 223462.540 225227.192  0.79%   104 1590s
 25364 17793 224544.969   39  141 223462.540 225227.062  0.79%   104 1595s
 25450 17859 224946.799   36  154 223462.540 225226.931  0.79%   104 1600s
 25549 17930 223792.330   62   88 223462.540 225226.646  0.79%   104 1605s
 25654 18013 223921.967   58  105 223462.540 225225.847  0.79%   104 1610s
 25767 18072 224146.889   58  135 223462.540 225225.364  0.79%   104 1615s
 25861 18148 224217.807   52  117 223462.540 225224.759  0.79%   104 1620s
 25977 18233 223839.812   56  122 223462.540 225224.587  0.79%   104 1625s
 26072 18294 224290.800   48  141 223462.540 225224.280  0.79%   104 1630s
 26159 18353 224853.601   37  146 223462.540 225224.067  0.79%   104 1635s
 26252 18429 224022.366   60  112 223462.540 225223.964  0.79%   104 1640s
 26331 18490 224161.557   54  112 223462.540 225223.457  0.79%   104 1645s
 26439 18575 223711.686   56  104 223462.540 225223.282  0.79%   104 1650s
 26527 18629 224770.012   32  146 223462.540 225222.027  0.79%   104 1655s
 26607 18693 223529.483   61  115 223462.540 225221.846  0.79%   104 1660s
 26707 18746 225114.135   33  152 223462.540 225221.437  0.79%   104 1665s
 26797 18815 224460.118   48  128 223462.540 225220.804  0.79%   104 1670s
 26891 18888 225087.477   29  158 223462.540 225219.280  0.79%   104 1675s
 26977 18954 224104.099   42  140 223462.540 225218.453  0.79%   104 1680s
 27054 19003 224179.510   55  127 223462.540 225218.254  0.79%   104 1685s
 27139 19058 223471.203   60  108 223462.540 225217.546  0.79%   104 1690s
 27224 19117 224816.457   39  148 223462.540 225216.919  0.79%   104 1695s
 27321 19202 223990.072   55  113 223462.540 225216.726  0.79%   104 1700s
