    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2548  1445 249546.980   27  150 241199.607 250892.327  4.02%   119  735s
  2557  1454 249292.704   31  143 241199.607 250892.327  4.02%   119  740s
  2564  1461 249202.270   35  148 241199.607 250892.327  4.02%   120  745s
  2575  1472 248210.412   40  131 241199.607 250892.327  4.02%   120  750s
  2590  1487 247988.802   48  116 241199.607 250892.327  4.02%   121  764s
  2592  1489 247897.916   49  117 241199.607 250892.327  4.02%   121  765s
  2605  1502 247452.294   55  106 241199.607 250892.327  4.02%   121  770s
  2617  1514 247069.126   61  101 241199.607 250892.327  4.02%   122  781s
  2627  1524 246954.136   66  101 241199.607 250892.327  4.02%   122  785s
  2643  1540 246143.298   74   88 241199.607 250892.327  4.02%   122  790s
  2644  1541 246656.028   75   88 241199.607 250892.327  4.02%   122  799s
  2646  1543 246569.623   76   86 241199.607 250892.327  4.02%   122  800s
  2671  1568 245352.834   88   74 241199.607 250892.327  4.02%   122  812s
  2694  1591 243980.866  100   53 241199.607 250892.327  4.02%   122  815s
  2695  1592 244039.888  100   54 241199.607 250892.327  4.02%   122  820s
  2698  1595 243925.299  102   50 241199.607 250892.327  4.02%   122  833s
  2713  1610 243328.860  109   50 241199.607 250892.327  4.02%   122  835s
  2725  1622 242708.059  115   46 241199.607 250892.327  4.02%   122  847s
  2750  1647 242049.500  128   40 241199.607 250892.327  4.02%   121  850s
H 2752  1242                    244283.13137 250892.327  2.71%   121  861s
  2760  1236 250273.452   23  160 244283.131 250853.937  2.69%   122  871s
  2764  1240 249657.469   27  151 244283.131 250853.937  2.69%   122  875s
  2774  1250 249318.311   35  144 244283.131 250853.937  2.69%   122  881s
  2782  1258 248925.804   39  145 244283.131 250853.937  2.69%   123  885s
  2791  1267 248695.085   42  135 244283.131 250853.937  2.69%   123  890s
  2798  1274 248374.191   45  127 244283.131 250853.937  2.69%   123  896s
  2809  1285 247938.789   50  121 244283.131 250853.937  2.69%   123  900s
  2820  1296 247222.348   56  114 244283.131 250853.937  2.69%   124  905s
H 2828  1280                    244524.44438 250853.937  2.59%   124  923s
  2831  1285 247009.550   62  106 244524.444 250853.937  2.59%   124  925s
  2839  1293 246842.862   65  105 244524.444 250853.937  2.59%   124  930s
  2850  1304 246223.312   68  101 244524.444 250853.937  2.59%   125  935s
  2863  1317 245809.063   70   96 244524.444 250853.937  2.59%   125  940s
  2877  1331 245875.911   74   98 244524.444 250853.937  2.59%   125  945s
  2890  1344 245308.120   79   84 244524.444 250853.937  2.59%   125  950s
  2907  1360 244644.288   84   82 244524.444 250853.937  2.59%   125  955s
  2918  1361 250687.474   26  159 244524.444 250853.656  2.59%   126  965s
  2921  1364 249748.614   29  149 244524.444 250853.656  2.59%   126  970s
  2928  1371 249380.802   34  135 244524.444 250853.656  2.59%   126  975s
  2941  1384 249028.411   42  132 244524.444 250853.656  2.59%   126  980s
  2953  1396 248349.834   47  125 244524.444 250853.656  2.59%   127  985s
  2974  1417 247644.773   55  106 244524.444 250853.656  2.59%   127  990s
  2989  1432 247056.737   61   85 244524.444 250853.656  2.59%   127  995s
  3004  1447 246322.921   68   76 244524.444 250853.656  2.59%   127 1000s
  3014  1457 245879.619   72   72 244524.444 250853.656  2.59%   127 1005s
  3031  1474 245414.771   76   68 244524.444 250853.656  2.59%   127 1010s
  3061  1495 250253.234   26  156 244524.444 250798.105  2.57%   127 1022s
  3063  1497 249359.199   28  145 244524.444 250798.105  2.57%   128 1026s
  3071  1505 249490.357   32  147 244524.444 250798.105  2.57%   128 1030s
  3083  1517 248977.542   39  131 244524.444 250798.105  2.57%   128 1035s
  3094  1528 248460.317   43  123 244524.444 250798.105  2.57%   129 1040s
  3108  1542 247888.835   47  115 244524.444 250798.105  2.57%   129 1045s
  3123  1557 247731.303   50  117 244524.444 250798.105  2.57%   129 1050s
  3135  1569 247085.974   54  107 244524.444 250798.105  2.57%   130 1055s
  3155  1589 246818.494   59  102 244524.444 250798.105  2.57%   130 1060s
  3173  1607 246458.687   64   99 244524.444 250798.105  2.57%   130 1065s
  3197  1631 245673.206   71   90 244524.444 250798.105  2.57%   130 1070s
  3218  1652 244802.140   82   67 244524.444 250798.105  2.57%   130 1075s
  3229  1654 250113.838   24  165 244524.444 250791.372  2.56%   131 1082s
  3232  1657 249509.684   26  163 244524.444 250791.372  2.56%   131 1085s
  3240  1665 249092.341   32  157 244524.444 250791.372  2.56%   131 1090s
  3249  1674 248604.557   35  144 244524.444 250791.372  2.56%   131 1095s
  3260  1685 248223.101   43  144 244524.444 250791.372  2.56%   132 1100s
  3274  1699 247418.670   51  124 244524.444 250791.372  2.56%   132 1105s
  3289  1714 246735.770   58  113 244524.444 250791.372  2.56%   132 1110s
  3304  1729 246244.246   65  113 244524.444 250791.372  2.56%   133 1115s
  3322  1747 245775.796   71   99 244524.444 250791.372  2.56%   133 1120s
  3343  1768 245182.532   80   88 244524.444 250791.372  2.56%   133 1125s
  3372  1779 249802.409   24  159 244524.444 250754.251  2.55%   133 1133s
  3373  1780 249366.426   25  157 244524.444 250754.251  2.55%   133 1136s
  3376  1783 249135.202   27  154 244524.444 250754.251  2.55%   133 1140s
  3382  1789 248694.928   31  143 244524.444 250754.251  2.55%   134 1145s
  3393  1800 248440.542   37  141 244524.444 250754.251  2.55%   134 1150s
  3401  1808 247936.772   41  133 244524.444 250754.251  2.55%   134 1155s
  3413  1820 247623.785   45  121 244524.444 250754.251  2.55%   134 1160s
  3433  1840 246999.670   58  113 244524.444 250754.251  2.55%   134 1165s
  3445  1852 246423.059   61  113 244524.444 250754.251  2.55%   134 1170s
  3460  1867 245907.485   67  102 244524.444 250754.251  2.55%   134 1175s
  3477  1884 245725.954   70  106 244524.444 250754.251  2.55%   134 1180s
  3497  1904 245127.893   79   93 244524.444 250754.251  2.55%   134 1185s
  3517  1915 250489.581   23  159 244524.444 250752.519  2.55%   134 1196s
  3524  1922 249655.444   29  153 244524.444 250752.519  2.55%   135 1200s
  3531  1929 249203.986   34  139 244524.444 250752.519  2.55%   135 1205s
  3539  1937 248840.855   36  133 244524.444 250752.519  2.55%   135 1210s
  3552  1950 248359.860   40  125 244524.444 250752.519  2.55%   135 1215s
  3565  1963 247737.444   46  111 244524.444 250752.519  2.55%   135 1220s
  3584  1982 246915.831   59   93 244524.444 250752.519  2.55%   135 1225s
  3606  2004 245826.564   74   71 244524.444 250752.519  2.55%   135 1230s
  3639  2037 244839.134   86   55 244524.444 250752.519  2.55%   135 1235s
  3654  2042 249776.996   24  150 244524.444 250726.490  2.54%   135 1240s
  3661  2049 249385.353   28  143 244524.444 250726.490  2.54%   135 1245s
  3671  2059 248717.886   34  129 244524.444 250726.490  2.54%   135 1250s
  3684  2072 248257.417   39  126 244524.444 250726.490  2.54%   136 1255s
  3708  2096 247404.842   56  100 244524.444 250726.490  2.54%   136 1260s
  3733  2121 246230.010   66   91 244524.444 250726.490  2.54%   136 1265s
  3777  2157 244630.414   87   62 244524.444 250726.490  2.54%   135 1270s
  3783  2157 250003.073   27  154 244524.444 250726.374  2.54%   135 1275s
  3791  2165 249368.628   31  151 244524.444 250726.374  2.54%   136 1280s
  3803  2177 248755.322   38  141 244524.444 250726.374  2.54%   136 1285s
  3812  2186 248262.838   40  136 244524.444 250726.374  2.54%   136 1290s
  3828  2202 247577.228   51  114 244524.444 250726.374  2.54%   136 1296s
  3845  2219 246976.464   60  101 244524.444 250726.374  2.54%   136 1300s
  3878  2252 245415.789   75   75 244524.444 250726.374  2.54%   136 1305s
  3902  2266 250134.947   25  153 244524.444 250723.139  2.54%   136 1310s
  3911  2275 248819.602   34  142 244524.444 250723.139  2.54%   136 1315s
  3927  2291 247259.168   50  109 244524.444 250723.139  2.54%   136 1320s
  3945  2309 245197.230   68   99 244524.444 250723.139  2.54%   136 1325s
  3959  2314 250454.533   25  148 244524.444 250723.000  2.53%   136 1331s
  3965  2320 249625.040   31  140 244524.444 250723.000  2.53%   136 1335s
  3978  2333 248263.303   44  134 244524.444 250723.000  2.53%   136 1340s
  3989  2344 247490.174   55  132 244524.444 250723.000  2.53%   136 1345s
  3998  2353 246956.436   64  120 244524.444 250723.000  2.53%   136 1350s
  4008  2363 245868.138   74  111 244524.444 250723.000  2.53%   136 1358s
  4014  2369 245263.870   80  104 244524.444 250723.000  2.53%   136 1360s
  4032  2374 250455.940   25  159 244524.444 250696.191  2.52%   136 1365s
  4038  2380 250037.022   28  148 244524.444 250696.191  2.52%   136 1370s
  4046  2388 249698.479   32  143 244524.444 250696.191  2.52%   136 1375s
  4055  2397 249169.195   37  139 244524.444 250696.191  2.52%   137 1380s
  4067  2409 248533.320   43  125 244524.444 250696.191  2.52%   137 1385s
  4082  2424 247858.507   50  115 244524.444 250696.191  2.52%   137 1390s
  4103  2445 246844.382   61   93 244524.444 250696.191  2.52%   137 1395s
  4135  2477 245437.516   77   52 244524.444 250696.191  2.52%   137 1400s
  4189  2512 249831.214   26  158 244524.444 250695.741  2.52%   136 1409s
  4190  2513 249390.263   27  155 244524.444 250695.741  2.52%   136 1410s
  4196  2519 248823.613   33  149 244524.444 250695.741  2.52%   136 1415s
  4208  2531 247541.859   45  138 244524.444 250695.741  2.52%   136 1420s
  4222  2545 246818.430   59  127 244524.444 250695.741  2.52%   136 1425s
