    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 13093  3583 222462.260   32   90 222457.215 222934.914  0.21%   136  935s
 13184  3595 222715.297   31   98 222457.215 222933.836  0.21%   136  940s
 13299  3629 222505.279   29   89 222457.215 222932.450  0.21%   136  945s
 13399  3649 222486.782   38   88 222457.215 222931.893  0.21%   136  950s
 13498  3664 222789.711   27  101 222457.215 222930.041  0.21%   135  955s
 13590  3672 222771.541   32   93 222457.215 222927.729  0.21%   135  960s
 13707  3693 222645.038   29   99 222457.215 222926.716  0.21%   135  965s
 13808  3703 222736.686   29   91 222457.215 222924.681  0.21%   135  970s
 13900  3717     cutoff   33      222457.215 222923.572  0.21%   135  975s
 13997  3729     cutoff   28      222457.215 222922.648  0.21%   135  980s
 14109  3737 222665.490   30   96 222457.215 222921.588  0.21%   135  985s
 14202  3753 222469.646   31   90 222457.215 222921.037  0.21%   135  990s
 14290  3764 222820.834   26   95 222457.215 222919.541  0.21%   135  995s
 14392  3784 222631.445   33   82 222457.215 222918.154  0.21%   135 1000s
 14479  3796     cutoff   28      222457.215 222916.680  0.21%   135 1005s
 14569  3806 222526.852   33   97 222457.215 222915.293  0.21%   135 1010s
 14667  3823 222782.801   28   93 222457.215 222913.193  0.20%   135 1015s
 14770  3852 222598.817   30   90 222457.215 222911.630  0.20%   135 1020s
 14862  3862 222584.150   32   84 222457.215 222909.783  0.20%   135 1025s
 14865  3865 222516.311   33   78 222457.215 222909.783  0.20%   135 1030s
 14870  3868 222481.409   34   76 222457.215 222909.783  0.20%   135 1036s
 14936  3871 222789.045   29   91 222457.215 222908.666  0.20%   135 1040s
 15030  3887 222788.719   25   97 222457.215 222907.496  0.20%   135 1045s
 15135  3890 222774.828   31   92 222457.215 222906.071  0.20%   134 1050s
 15226  3904 222574.561   37   88 222457.215 222904.350  0.20%   134 1055s
 15325  3911 222682.872   27   97 222457.215 222902.754  0.20%   134 1060s
 15427  3940 222719.244   26  101 222457.215 222900.445  0.20%   134 1065s
 15472  3937     cutoff   29      222457.215 222899.021  0.20%   134 1070s
 15573  3940 222638.445   29   95 222457.215 222898.026  0.20%   134 1075s
 15674  3953     cutoff   28      222457.215 222896.316  0.20%   134 1080s
 15794  3962 222471.231   29   95 222457.215 222894.284  0.20%   134 1085s
 15899  3987 222715.983   31   92 222457.215 222893.526  0.20%   134 1090s
 15995  4003 222735.463   29   91 222457.215 222891.289  0.20%   134 1095s
 16078  4008 222658.774   32   87 222457.215 222890.276  0.19%   134 1100s
 16191  4027 222647.661   30   89 222457.215 222888.984  0.19%   134 1105s
 16296  4034 222479.648   28   94 222457.215 222886.373  0.19%   134 1110s
 16405  4044 222566.587   31   91 222457.215 222884.180  0.19%   134 1115s
 16505  4057 222724.428   26  105 222457.215 222882.796  0.19%   134 1120s
 16618  4078 222523.823   25   89 222457.215 222881.319  0.19%   133 1125s
 16726  4096 222675.553   26   93 222457.215 222880.660  0.19%   133 1130s
 16840  4118 222700.932   25   92 222457.215 222879.695  0.19%   133 1135s
 16936  4125 222674.292   24   95 222457.215 222878.829  0.19%   133 1140s
 17029  4134 222722.533   23   92 222457.215 222877.844  0.19%   133 1145s
 17124  4145     cutoff   32      222457.215 222877.039  0.19%   133 1150s
 17212  4151 222664.895   27   94 222457.215 222875.704  0.19%   133 1155s
 17298  4157 222753.884   30   94 222457.215 222874.279  0.19%   133 1160s
 17405  4168     cutoff   37      222457.215 222873.649  0.19%   133 1165s
 17525  4204 222489.499   39   68 222457.215 222871.563  0.19%   133 1170s
 17632  4224 222726.722   27   99 222457.215 222870.001  0.19%   133 1175s
 17730  4241 222458.667   36   78 222457.215 222869.635  0.19%   133 1180s
 17829  4251 222810.149   28   99 222457.215 222868.384  0.18%   133 1185s
 17912  4272 222550.226   36   86 222457.215 222866.960  0.18%   133 1190s
 18022  4275 222506.092   32   86 222457.215 222864.440  0.18%   133 1195s
 18121  4280     cutoff   29      222457.215 222863.331  0.18%   133 1200s
 18233  4292 222754.199   30   84 222457.215 222861.115  0.18%   133 1205s
 18356  4314 222463.898   33   88 222457.215 222859.432  0.18%   132 1210s
 18464  4328     cutoff   34      222457.215 222858.345  0.18%   132 1215s
 18565  4342 222479.139   31   93 222457.215 222856.765  0.18%   132 1220s
 18660  4346     cutoff   33      222457.215 222855.083  0.18%   132 1225s
 18757  4358     cutoff   36      222457.215 222853.932  0.18%   132 1230s
 18868  4368 222540.834   30   91 222457.215 222852.565  0.18%   132 1235s
 18961  4373     cutoff   28      222457.215 222850.770  0.18%   132 1240s
 19061  4393 222595.048   30   98 222457.215 222849.759  0.18%   132 1245s
 19155  4401 222547.628   26   95 222457.215 222848.508  0.18%   132 1250s
 19243  4403 222481.895   34   82 222457.215 222847.917  0.18%   132 1255s
 19343  4410     cutoff   24      222457.215 222846.630  0.18%   132 1260s
 19431  4426     cutoff   35      222457.215 222845.619  0.17%   132 1265s
 19545  4435 222462.702   32   82 222457.215 222844.663  0.17%   132 1270s
 19655  4451 222671.283   31  102 222457.215 222843.404  0.17%   132 1275s
 19746  4447 222656.394   26   96 222457.215 222842.330  0.17%   132 1280s
 19848  4458 222491.714   30   88 222457.215 222841.547  0.17%   132 1285s
 19957  4458 222535.705   26   98 222457.215 222839.581  0.17%   132 1290s
 20051  4471 222765.705   30   85 222457.215 222838.081  0.17%   132 1295s
 20163  4505 222532.326   38   82 222457.215 222836.201  0.17%   132 1300s
 20264  4520 222639.757   34   82 222457.215 222834.815  0.17%   132 1305s
 20370  4550 222512.830   29   84 222457.215 222833.894  0.17%   131 1310s
 20460  4555 222668.831   25  100 222457.215 222832.120  0.17%   131 1315s
 20562  4569 222509.626   35   85 222457.215 222831.272  0.17%   131 1320s
 20672  4578 222618.657   31   88 222457.215 222829.334  0.17%   131 1325s
 20792  4600 222495.825   34   87 222457.215 222828.459  0.17%   131 1330s
 20893  4603 222508.148   36   75 222457.215 222827.354  0.17%   131 1335s
 20990  4604 222539.135   24   98 222457.215 222826.504  0.17%   131 1340s
 21087  4627 222494.467   30   96 222457.215 222825.736  0.17%   131 1348s
 21128  4634 222660.622   31   85 222457.215 222824.932  0.17%   131 1350s
 21225  4644 222695.235   32   94 222457.215 222824.199  0.16%   131 1355s
 21340  4661 222506.068   31   86 222457.215 222822.153  0.16%   131 1360s
 21440  4667 222619.486   35   82 222457.215 222820.776  0.16%   131 1365s
 21549  4676 222638.777   29   89 222457.215 222819.338  0.16%   131 1370s
 21654  4683 222667.367   30   85 222457.215 222818.075  0.16%   131 1375s
 21756  4701 222489.075   31   98 222457.215 222816.844  0.16%   131 1380s
 21850  4702 222511.559   28   86 222457.215 222815.246  0.16%   131 1385s
 21968  4706     cutoff   36      222457.215 222813.783  0.16%   131 1390s
 22067  4709 222628.366   30   86 222457.215 222812.907  0.16%   131 1395s
 22164  4708     cutoff   30      222457.215 222810.992  0.16%   131 1400s
 22270  4714 222518.603   33   83 222457.215 222810.186  0.16%   131 1405s
 22372  4726 222575.835   24   95 222457.215 222809.367  0.16%   130 1410s
 22501  4743 222556.001   24   92 222457.215 222808.264  0.16%   130 1415s
 22605  4746 222550.454   28   95 222457.215 222807.325  0.16%   130 1420s
 22713  4748 222552.288   29   81 222457.215 222806.766  0.16%   130 1425s
 22819  4750 222694.585   27  100 222457.215 222806.147  0.16%   130 1430s
 22919  4760 222506.393   22   99 222457.215 222805.430  0.16%   130 1435s
 23022  4774     cutoff   32      222457.215 222804.182  0.16%   130 1440s
 23120  4780     cutoff   39      222457.215 222802.591  0.16%   130 1445s
 23236  4800 222607.978   29   88 222457.215 222801.780  0.15%   130 1450s
 23349  4804 222573.107   36   72 222457.215 222799.929  0.15%   130 1455s
 23460  4821 222539.556   27   89 222457.215 222798.935  0.15%   130 1460s
 23568  4823 222506.434   30   92 222457.215 222798.053  0.15%   130 1465s
 23679  4839 222652.071   25   86 222457.215 222796.860  0.15%   130 1470s
 23790  4853 222606.665   25   92 222457.215 222795.426  0.15%   130 1475s
 23902  4861 222673.922   31   89 222457.215 222794.781  0.15%   130 1480s
 24018  4864 222477.707   28   96 222457.215 222793.736  0.15%   130 1485s
 24135  4873 222649.635   32   96 222457.215 222792.868  0.15%   129 1490s
 24237  4888 222620.468   26   96 222457.215 222791.374  0.15%   129 1495s
 24335  4889 222502.084   24   88 222457.215 222790.393  0.15%   129 1500s
 24439  4891     cutoff   31      222457.215 222788.888  0.15%   129 1505s
 24539  4895 222742.593   31   91 222457.215 222787.646  0.15%   129 1510s
 24659  4908 222518.860   30   90 222457.215 222786.925  0.15%   129 1515s
 24757  4902 222718.338   32   88 222457.215 222785.910  0.15%   129 1520s
 24864  4911 222468.385   38   65 222457.215 222785.160  0.15%   129 1525s
 24990  4910 222658.771   35   81 222457.215 222784.201  0.15%   129 1530s
 25094  4915 222476.635   29   96 222457.215 222784.005  0.15%   129 1535s
 25214  4923 222498.648   34   74 222457.215 222782.468  0.15%   129 1540s
 25307  4922 222597.866   33   89 222457.215 222781.832  0.15%   129 1545s
 25423  4933 222647.360   31   88 222457.215 222781.260  0.15%   129 1550s
 25533  4940 222472.474   35   80 222457.215 222780.508  0.15%   129 1555s
 25651  4946 222483.350   36   87 222457.215 222779.356  0.14%   129 1560s
 25760  4937 222688.400   25  101 222457.215 222777.804  0.14%   129 1565s
 25881  4945 222656.605   28   91 222457.215 222776.838  0.14%   129 1570s
 25992  4950     cutoff   30      222457.215 222776.137  0.14%   129 1575s
 26084  4958 222510.564   33   86 222457.215 222775.271  0.14%   129 1580s
 26197  4964 222529.288   33   86 222457.215 222774.625  0.14%   129 1585s
 26299  4974 222466.335   32   96 222457.215 222773.119  0.14%   129 1590s
 26385  4970 222458.315   30   90 222457.215 222772.140  0.14%   129 1595s
 26497  4968 222570.969   33   83 222457.215 222771.113  0.14%   129 1600s
 26605  4983 222525.934   33   85 222457.215 222770.270  0.14%   129 1605s
 26722  4979 222651.991   32   90 222457.215 222769.251  0.14%   128 1610s
 26819  4972 222559.728   35   71 222457.215 222768.133  0.14%   128 1615s
 26921  4967 222578.167   26   93 222457.215 222766.787  0.14%   128 1620s
 27020  4969     cutoff   25      222457.215 222766.093  0.14%   128 1625s
 27110  4965 222564.972   29   91 222457.215 222764.074  0.14%   128 1630s
 27207  4958 222562.844   31   83 222457.215 222763.144  0.14%   128 1635s
 27307  4952     cutoff   28      222457.215 222761.788  0.14%   128 1640s
 27430  4957 222698.799   33   77 222457.215 222760.739  0.14%   128 1645s
 27533  4956 222499.219   34   92 222457.215 222759.537  0.14%   128 1650s
 27637  4954 222493.682   33  101 222457.215 222758.638  0.14%   128 1655s
 27770  4965 222541.423   26   91 222457.215 222757.750  0.14%   128 1660s
 27888  4964 222554.540   26   89 222457.215 222757.025  0.13%   128 1665s
 27975  4964 222522.326   30   99 222457.215 222756.364  0.13%   128 1670s
 28072  4963     cutoff   25      222457.215 222755.315  0.13%   128 1675s
 28174  4964 222484.930   37   76 222457.215 222754.661  0.13%   128 1680s
 28297  4969 222510.820   28   92 222457.215 222753.976  0.13%   128 1685s
 28409  4968 222517.004   39   73 222457.215 222753.122  0.13%   128 1690s
