Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0x2f4a87f5
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-05, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.294161e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2471  1264 246887.619   23  136 245424.472 248134.891  1.10%   151  910s
  2484  1277 246589.575   26  134 245424.472 248134.891  1.10%   150  915s
  2494  1287 246301.219   28  124 245424.472 248134.891  1.10%   151  920s
  2500  1293 246106.054   29  134 245424.472 248134.891  1.10%   151  925s
  2518  1309 245738.693   35  121 245424.472 248134.891  1.10%   151  930s
  2526  1313 245455.271   37  115 245424.472 248134.891  1.10%   151  939s
  2529  1312 245655.373   37  120 245424.472 248134.891  1.10%   151  940s
  2539  1310 248014.996   16  171 245424.472 248132.678  1.10%   152  948s
  2542  1313 247641.617   19  169 245424.472 248132.678  1.10%   152  950s
  2545  1316 247002.557   22  163 245424.472 248132.678  1.10%   152  959s
  2548  1319 246870.961   25  159 245424.472 248132.678  1.10%   152  960s
H 2552  1261                    245537.49605 248132.678  1.06%   152  965s
  2574  1278 247848.398   16  167 245537.496 248126.976  1.05%   153  976s
  2578  1282 247468.032   20  159 245537.496 248126.976  1.05%   153  986s
  2589  1293 246302.667   31  124 245537.496 248126.976  1.05%   153  990s
  2601  1305 245585.465   43   94 245537.496 248126.976  1.05%   153  999s
  2603  1304 245560.200   44   94 245537.496 248126.976  1.05%   153 1000s
  2607  1304 247956.273   15  163 245537.496 248120.913  1.05%   153 1006s
  2613  1310 247093.066   21  155 245537.496 248120.913  1.05%   153 1010s
H 2628  1267                    245606.54708 248120.913  1.02%   153 1024s
  2632  1273 245847.490   40  114 245606.547 248120.913  1.02%   153 1025s
  2641  1274 247546.895   16  158 245606.547 248112.168  1.02%   153 1030s
  2655  1288 246541.455   30  123 245606.547 248112.168  1.02%   153 1044s
  2658  1291 246296.287   33  121 245606.547 248112.168  1.02%   153 1045s
  2677  1299 245626.097   43  107 245606.547 248112.168  1.02%   153 1050s
  2682  1296 245715.698   41  116 245606.547 248112.168  1.02%   153 1062s
  2697  1297 245644.063   41  113 245606.547 248112.168  1.02%   153 1065s
