    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 41493 12723 181494.284   38  111 181431.334 181839.404  0.22%  76.4 1390s
 41674 12762 181522.483   38  106 181431.334 181838.819  0.22%  76.4 1395s
 41834 12799 181497.412   42  110 181431.334 181838.164  0.22%  76.4 1400s
 41986 12829 181471.378   45  109 181431.334 181837.415  0.22%  76.4 1405s
 42170 12862 181443.034   43  102 181431.334 181836.496  0.22%  76.4 1410s
 42360 12884 181476.278   47   89 181431.334 181835.439  0.22%  76.3 1415s
 42534 12891 181528.493   40  108 181431.334 181834.328  0.22%  76.3 1420s
 42703 12912 181525.160   40  109 181431.334 181833.453  0.22%  76.3 1425s
 42893 12946 181574.044   47   89 181431.334 181832.927  0.22%  76.3 1430s
 43068 12964 181601.052   44  100 181431.334 181832.397  0.22%  76.3 1435s
 43216 12984     cutoff   48      181431.334 181831.481  0.22%  76.3 1440s
 43395 13012 181513.726   41  113 181431.334 181830.991  0.22%  76.3 1445s
 43579 13042 181552.425   36  114 181431.334 181830.013  0.22%  76.2 1450s
 43734 13050 181711.125   38  111 181431.334 181829.454  0.22%  76.3 1455s
 43916 13078 181663.730   39  107 181431.334 181828.723  0.22%  76.2 1460s
 44087 13109 181612.722   46   96 181431.334 181828.331  0.22%  76.2 1465s
 44181 13131 181648.537   41  108 181431.334 181827.975  0.22%  76.3 1470s
 44346 13162 181492.769   43  111 181431.334 181827.478  0.22%  76.3 1475s
 44522 13169 181623.842   44  103 181431.334 181826.712  0.22%  76.3 1480s
 44682 13177 181438.034   39  118 181431.334 181826.321  0.22%  76.3 1485s
 44864 13202 181542.784   46   91 181431.334 181825.528  0.22%  76.3 1490s
 45036 13232 181452.633   44   95 181431.334 181825.086  0.22%  76.3 1495s
 45220 13261 181433.711   43  100 181431.334 181824.188  0.22%  76.2 1500s
 45417 13293 181732.425   35  129 181431.334 181823.411  0.22%  76.2 1505s
 45441 13302 181498.373   46   96 181431.334 181823.367  0.22%  76.2 1510s
 45596 13320 181519.266   38  116 181431.334 181822.482  0.22%  76.2 1515s
 45773 13341 181577.524   41  106 181431.334 181821.617  0.22%  76.2 1520s
 45936 13363 181585.216   39  126 181431.334 181820.596  0.21%  76.2 1525s
 46097 13384 181756.724   43  107 181431.334 181819.916  0.21%  76.2 1530s
 46290 13419 181484.871   43  114 181431.334 181819.217  0.21%  76.2 1535s
 46475 13447 181443.407   45   99 181431.334 181818.569  0.21%  76.1 1540s
 46646 13475 181753.839   44  106 181431.334 181817.941  0.21%  76.1 1545s
 46825 13506 181506.210   41  114 181431.334 181817.284  0.21%  76.1 1550s
 47005 13531 181494.822   40  108 181431.334 181816.270  0.21%  76.1 1555s
 47189 13552 181592.427   49   96 181431.334 181815.562  0.21%  76.1 1560s
 47388 13574 181445.602   44  102 181431.334 181814.771  0.21%  76.1 1565s
 47549 13583 181589.090   39  120 181431.334 181814.072  0.21%  76.1 1570s
 47722 13586 181567.958   44  101 181431.334 181813.371  0.21%  76.1 1575s
 47887 13606 181574.379   48   86 181431.334 181812.630  0.21%  76.1 1580s
 48003 13616 181536.193   46   94 181431.334 181812.275  0.21%  76.1 1585s
 48192 13625 181442.902   46  107 181431.334 181811.230  0.21%  76.0 1590s
 48349 13654 181473.687   39  116 181431.334 181810.649  0.21%  76.0 1595s
 48510 13675     cutoff   44      181431.334 181809.992  0.21%  76.0 1600s
 48694 13700 181477.215   49  100 181431.334 181809.282  0.21%  76.0 1605s
 48861 13723 181532.044   45   95 181431.334 181808.561  0.21%  76.0 1610s
 49063 13746 181482.378   43  101 181431.334 181807.941  0.21%  76.0 1615s
