    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4847  2638 224570.948   37   87 221909.917 226017.041  1.85%   119  740s
  4883  2664 224443.729   42   88 221909.917 226013.502  1.85%   119  745s
  4913  2687 224410.773   39   93 221909.917 226010.486  1.85%   120  750s
  4951  2725 222986.610   56   63 221909.917 226010.486  1.85%   120  755s
  4992  2754 224498.266   38   96 221909.917 226009.290  1.85%   120  760s
  5023  2777 224864.894   35   88 221909.917 226007.603  1.85%   120  765s
  5067  2812 224782.935   36   89 221909.917 226005.123  1.85%   120  770s
  5105  2838 224795.641   35  101 221909.917 225985.290  1.84%   120  775s
  5131  2856 225351.112   34  104 221909.917 225979.857  1.83%   120  780s
  5151  2876 222635.886   54   63 221909.917 225979.857  1.83%   120  786s
  5175  2893 223955.355   40  100 221909.917 225975.257  1.83%   120  790s
  5182  2900 223322.927   47   89 221909.917 225975.257  1.83%   120  795s
  5212  2920 224114.932   36   83 221909.917 225973.553  1.83%   121  800s
  5252  2948 225165.643   29  103 221909.917 225971.849  1.83%   121  805s
  5277  2973 223566.467   39   85 221909.917 225971.849  1.83%   121  810s
  5312  2991 225538.117   29  108 221909.917 225971.767  1.83%   121  815s
  5327  3006 223533.376   44   96 221909.917 225971.767  1.83%   122  820s
  5357  3022 224798.001   33  108 221909.917 225971.282  1.83%   122  830s
  5369  3034 223441.790   45   95 221909.917 225971.282  1.83%   122  840s
  5402  3049 225361.719   29  101 221909.917 225962.397  1.83%   121  845s
  5436  3083 223185.540   47   60 221909.917 225962.397  1.83%   122  850s
  5483  3121 224041.302   42   84 221909.917 225946.584  1.82%   122  855s
  5516  3141 224975.844   33   99 221909.917 225940.332  1.82%   122  860s
  5549  3174 223318.457   49   74 221909.917 225940.332  1.82%   122  865s
  5601  3210 224050.300   42   91 221909.917 225938.603  1.82%   122  870s
  5635  3230 225175.238   34  100 221909.917 225937.128  1.81%   122  875s
  5666  3251 225382.257   30  110 221909.917 225929.438  1.81%   122  880s
  5688  3273 223090.882   52   86 221909.917 225929.438  1.81%   122  885s
  5708  3284 221930.393   65   71 221909.917 225929.438  1.81%   122  896s
  5724  3294 223076.527   43   95 221909.917 225902.596  1.80%   122  900s
  5751  3314 224654.608   36   94 221909.917 225898.252  1.80%   122  905s
  5783  3345 222110.014   68   68 221909.917 225898.252  1.80%   122  910s
  5821  3375 222304.622   58   42 221909.917 225898.212  1.80%   122  915s
  5855  3401 222897.576   48   85 221909.917 225895.658  1.80%   122  920s
  5872  3410 221952.037   58   77 221909.917 225895.658  1.80%   122  925s
  5894  3424 223699.060   35   96 221909.917 225895.601  1.80%   122  930s
  5933  3453 225267.007   31  106 221909.917 225894.925  1.80%   123  935s
  5971  3491 223527.350   47   73 221909.917 225894.925  1.80%   123  940s
  6031  3538 225162.095   27  102 221909.917 225891.738  1.79%   123  945s
  6058  3555 225729.011   27  113 221909.917 225891.357  1.79%   123  950s
  6078  3575 223678.701   47   92 221909.917 225891.357  1.79%   123  955s
  6109  3598 224510.116   35   95 221909.917 225890.379  1.79%   123  960s
  6151  3626 224960.493   32   98 221909.917 225887.741  1.79%   123  965s
  6197  3659 224969.864   34  104 221909.917 225880.484  1.79%   123  970s
  6209  3671 223440.167   46   91 221909.917 225880.484  1.79%   123  980s
  6241  3691 224100.616   38  102 221909.917 225880.345  1.79%   123  985s
  6270  3712 225178.789   33  108 221909.917 225876.981  1.79%   123  990s
H 6285  3657                    221977.35997 225876.981  1.76%   124  993s
  6299  3665 225716.670   28  108 221977.360 225876.516  1.76%   124  995s
  6318  3684 223334.886   47   92 221977.360 225876.516  1.76%   124 1000s
  6356  3708 223586.142   47   89 221977.360 225872.856  1.75%   124 1005s
  6384  3728 224555.630   38   97 221977.360 225869.979  1.75%   124 1010s
H 6415  3657                    222100.55705 225869.979  1.70%   124 1019s
  6424  3668 222432.538   58   60 222100.557 225869.979  1.70%   124 1020s
  6470  3686 224994.922   35   98 222100.557 225862.945  1.69%   124 1025s
  6504  3720 222838.269   50   57 222100.557 225862.945  1.69%   125 1030s
  6554  3756 225114.583   34   98 222100.557 225862.109  1.69%   125 1035s
H 6566  3756                    222109.13943 225862.109  1.69%   125 1044s
  6570  3762 223398.085   40   78 222109.139 225862.109  1.69%   125 1045s
  6604  3790 222166.075   51   64 222109.139 225862.109  1.69%   125 1050s
  6632  3810 222649.552   53   75 222109.139 225861.717  1.69%   125 1055s
  6661  3832 223140.807   52   83 222109.139 225860.354  1.69%   125 1060s
  6697  3858 223431.082   51   75 222109.139 225859.785  1.69%   125 1065s
  6728  3879 224134.005   43   91 222109.139 225859.734  1.69%   125 1070s
  6759  3900 224744.919   35   97 222109.139 225847.638  1.68%   126 1075s
  6794  3927 224792.310   35   89 222109.139 225842.707  1.68%   126 1080s
  6834  3955 225247.695   34   98 222109.139 225827.218  1.67%   126 1085s
  6872  3983 225349.365   34  108 222109.139 225826.506  1.67%   125 1094s
  6873  3984 225210.614   35  107 222109.139 225826.506  1.67%   125 1095s
  6896  4007 222795.301   58   90 222109.139 225826.506  1.67%   126 1100s
  6919  4022 223455.355   45  100 222109.139 225817.996  1.67%   126 1105s
  6942  4033 225218.909   35  106 222109.139 225814.251  1.67%   126 1110s
  6965  4056 223718.054   47   85 222109.139 225814.251  1.67%   126 1115s
H 6969  3916                    222232.93959 225814.251  1.61%   126 1127s
  6982  3931 223018.591   51   68 222232.940 225814.251  1.61%   126 1130s
  7014  3955 224540.542   39   94 222232.940 225809.960  1.61%   126 1137s
  7019  3960 223523.069   44   92 222232.940 225809.960  1.61%   126 1145s
  7048  3979 224311.329   35   96 222232.940 225801.805  1.61%   126 1150s
  7074  3997 224838.656   34   93 222232.940 225801.303  1.61%   126 1155s
  7116  4022 225216.426   32  103 222232.940 225788.903  1.60%   126 1160s
  7137  4043 222557.779   53   84 222232.940 225788.903  1.60%   126 1165s
  7162  4060 223582.951   46   85 222232.940 225787.022  1.60%   126 1170s
  7191  4079 224130.571   38   93 222232.940 225785.837  1.60%   126 1175s
  7218  4098 224684.199   37   94 222232.940 225785.344  1.60%   127 1180s
  7255  4135 222621.751   55   68 222232.940 225785.344  1.60%   127 1185s
  7283  4154 223571.645   42   94 222232.940 225784.025  1.60%   127 1190s
  7313  4174 224040.843   42   91 222232.940 225778.576  1.60%   127 1195s
  7318  4179 222973.358   47   86 222232.940 225778.576  1.60%   127 1203s
  7332  4185 225614.334   29  102 222232.940 225774.012  1.59%   127 1205s
  7372  4213 224875.329   37   90 222232.940 225767.030  1.59%   127 1210s
  7409  4250 223577.491   48   78 222232.940 225767.030  1.59%   127 1215s
  7449  4290 223135.244   55   72 222232.940 225767.030  1.59%   127 1220s
