    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 10095  6064 160136.080   37  120 158837.432 160585.089  1.10%  92.6  855s
H10106  6042                    158857.29555 160585.089  1.09%  92.6  858s
 10124  6052 160204.277   40  111 158857.296 160584.127  1.09%  92.6  860s
 10192  6099 159619.847   47  102 158857.296 160581.735  1.09%  92.5  865s
 10260  6147 159294.719   54  103 158857.296 160581.267  1.09%  92.5  870s
 10316  6181 159868.911   41  110 158857.296 160580.080  1.08%  92.5  875s
 10384  6232 159288.787   53   85 158857.296 160579.760  1.08%  92.7  880s
 10469  6287 159912.886   43  103 158857.296 160576.804  1.08%  92.6  885s
 10530  6324 159901.180   44   95 158857.296 160576.190  1.08%  92.6  890s
 10598  6357 160035.616   38  120 158857.296 160576.063  1.08%  92.5  895s
 10659  6392 160405.264   38  111 158857.296 160575.686  1.08%  92.5  900s
 10720  6435 159817.568   46  107 158857.296 160573.936  1.08%  92.6  905s
 10786  6491 159047.175   40  110 158857.296 160573.829  1.08%  92.8  910s
 10851  6532 159163.584   47  105 158857.296 160571.571  1.08%  92.8  915s
 10917  6574 160294.906   35  124 158857.296 160569.197  1.08%  92.7  920s
 10966  6615 159245.631   52   88 158857.296 160568.943  1.08%  92.7  928s
 10976  6619     cutoff   59      158857.296 160568.943  1.08%  92.7  930s
 11031  6660 160398.621   38  120 158857.296 160567.607  1.08%  92.9  935s
 11097  6708 159894.046   47  110 158857.296 160565.593  1.08%  92.9  940s
 11109  6720 159310.783   55   98 158857.296 160565.593  1.08%  92.9  950s
 11171  6767 159838.597   46   96 158857.296 160563.616  1.07%  93.0  955s
 11247  6817 159759.009   44  105 158857.296 160561.514  1.07%  93.2  960s
 11315  6869 159711.350   48   97 158857.296 160560.333  1.07%  93.1  965s
 11397  6911 160427.899   35  118 158857.296 160558.140  1.07%  93.1  970s
 11468  6967 160052.183   45  114 158857.296 160556.066  1.07%  93.0  975s
 11539  7016 160161.685   36  117 158857.296 160555.508  1.07%  93.0  980s
 11602  7061 159850.516   44   93 158857.296 160553.476  1.07%  93.1  985s
 11676  7115 160455.035   34  117 158857.296 160552.673  1.07%  93.2  990s
 11742  7158 159839.536   42  111 158857.296 160551.122  1.07%  93.1  995s
 11809  7209 159064.837   52   88 158857.296 160548.830  1.06%  93.2 1000s
 11872  7250 159236.409   56   98 158857.296 160547.716  1.06%  93.2 1005s
 11938  7301 158880.617   61   86 158857.296 160547.256  1.06%  93.1 1010s
 11987  7332 159088.602   61   89 158857.296 160546.375  1.06%  93.2 1015s
 12030  7359 160152.675   41  111 158857.296 160545.053  1.06%  93.2 1020s
 12088  7415 159146.216   52   91 158857.296 160545.053  1.06%  93.4 1025s
 12189  7468 159573.421   53  101 158857.296 160543.899  1.06%  93.2 1030s
 12241  7500 159344.550   47  126 158857.296 160540.929  1.06%  93.3 1035s
 12311  7540 159974.301   44   94 158857.296 160539.412  1.06%  93.2 1040s
