Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1100 columns and 800 nonzeros
Model fingerprint: 0xc0da4112
Variable types: 800 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -8.24962e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1100 columns, 0 nonzeros
Variable types: 800 continuous, 300 integer (300 binary)
Found heuristic solution: objective -8.24962e+14

Root relaxation: objective 3.513363e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3733  2186 192947.704   24  127 191210.881 193305.209  1.10%   152  975s
  3760  2205 193032.569   23  138 191210.881 193302.731  1.09%   153  982s
  3770  2215 192222.145   33  131 191210.881 193302.731  1.09%   153  985s
  3789  2224 192768.497   25  125 191210.881 193302.701  1.09%   153  990s
  3818  2245 193127.682   20  147 191210.881 193300.387  1.09%   152  995s
  3847  2267 192959.507   21  131 191210.881 193299.231  1.09%   153 1000s
  3873  2291     cutoff   47      191210.881 193299.231  1.09%   153 1005s
  3891  2301 191979.400   32  105 191210.881 193294.189  1.09%   153 1028s
  3907  2311 191293.531   43   85 191210.881 193294.189  1.09%   153 1030s
  3928  2325 192102.635   33  123 191210.881 193293.975  1.09%   153 1035s
  3950  2335 192935.685   24  130 191210.881 193293.468  1.09%   153 1040s
  3974  2359 191764.596   34  107 191210.881 193293.468  1.09%   153 1045s
  4008  2375 192328.180   28  110 191210.881 193290.621  1.09%   153 1052s
  4017  2384 192039.465   31  101 191210.881 193290.621  1.09%   153 1055s
  4048  2407 193033.849   22  126 191210.881 193290.526  1.09%   153 1060s
  4070  2429 191584.384   44  100 191210.881 193290.526  1.09%   153 1065s
  4096  2443 192162.230   31  122 191210.881 193286.636  1.09%   153 1070s
  4117  2456 192821.377   23  137 191210.881 193285.151  1.08%   153 1075s
  4137  2476 191252.479   43   98 191210.881 193285.151  1.08%   153 1080s
  4155  2486 191807.607   32   97 191210.881 193284.873  1.08%   153 1085s
  4172  2489 193098.476   20  141 191210.881 193284.733  1.08%   153 1091s
  4180  2497 192182.964   28  118 191210.881 193284.733  1.08%   153 1095s
  4203  2511 192730.888   26  128 191210.881 193273.921  1.08%   153 1100s
  4235  2535 193170.151   22  137 191210.881 193273.641  1.08%   153 1105s
  4251  2551 191666.034   38  105 191210.881 193273.641  1.08%   153 1110s
  4272  2558 192894.383   23  136 191210.881 193269.002  1.08%   153 1115s
  4296  2582 191221.097   47  112 191210.881 193269.002  1.08%   153 1120s
  4316  2594 191454.056   36  111 191210.881 193257.089  1.07%   153 1125s
  4334  2604 192279.776   26  120 191210.881 193256.575  1.07%   153 1130s
  4352  2622 191755.526   35  101 191210.881 193256.575  1.07%   153 1135s
  4398  2628 193119.467   21  135 191210.881 193250.896  1.07%   153 1141s
  4413  2643 192439.295   28  105 191210.881 193250.896  1.07%   153 1145s
  4447  2677 191457.716   46   76 191210.881 193250.896  1.07%   153 1150s
  4468  2689 192059.377   27  119 191210.881 193248.960  1.07%   153 1155s
  4496  2702 192925.009   23  131 191210.881 193247.345  1.07%   154 1160s
  4527  2723 192918.417   21  126 191210.881 193241.702  1.06%   153 1165s
  4561  2749 193037.191   22  135 191210.881 193223.285  1.05%   153 1170s
  4567  2755 192309.754   28  119 191210.881 193223.285  1.05%   153 1176s
  4588  2763 193092.794   19  147 191210.881 193222.591  1.05%   153 1180s
  4616  2784 192989.580   19  144 191210.881 193219.852  1.05%   153 1185s
  4639  2805     cutoff   42      191210.881 193219.852  1.05%   153 1190s
  4660  2816 191490.247   34   93 191210.881 193217.132  1.05%   153 1195s
  4684  2832 192002.394   34  119 191210.881 193215.885  1.05%   153 1200s
  4704  2840 192531.562   23  134 191210.881 193210.644  1.05%   154 1205s
  4728  2854 192820.785   19  138 191210.881 193210.262  1.05%   154 1210s
  4753  2871 191237.345   38  112 191210.881 193210.262  1.05%   153 1215s
  4792  2904 191693.696   41   82 191210.881 193210.009  1.05%   153 1220s
  4824  2929 192021.141   37  122 191210.881 193207.847  1.04%   153 1225s
  4854  2946 192322.820   29  127 191210.881 193206.641  1.04%   153 1230s
  4881  2965 192717.402   22  134 191210.881 193204.064  1.04%   153 1235s
  4906  2979 193137.033   21  140 191210.881 193202.847  1.04%   153 1240s
  4920  2993 192027.408   35  122 191210.881 193202.847  1.04%   154 1245s
  4944  3007 192777.403   21  137 191210.881 193202.781  1.04%   154 1250s
  4962  3017 192736.285   23  130 191210.881 193202.726  1.04%   154 1255s
  4990  3037 192747.253   23  133 191210.881 193201.989  1.04%   154 1261s
  5004  3051 192093.998   30  115 191210.881 193201.989  1.04%   154 1265s
  5018  3064 191212.841   37   98 191210.881 193201.989  1.04%   154 1270s
  5019  3065 191507.418   38   98 191210.881 193201.989  1.04%   154 1283s
  5031  3069 193063.020   22  137 191210.881 193201.864  1.04%   154 1285s
  5044  3082 192166.691   35  110 191210.881 193201.864  1.04%   154 1298s
  5054  3092 191539.649   45   99 191210.881 193201.864  1.04%   154 1300s
  5077  3106 192305.410   29  119 191210.881 193200.874  1.04%   155 1305s
  5098  3119 193031.204   20  136 191210.881 193200.475  1.04%   154 1310s
  5123  3134 192866.357   19  140 191210.881 193197.392  1.04%   154 1315s
  5138  3149 192438.279   22  128 191210.881 193197.392  1.04%   155 1320s
  5159  3170 192183.867   26  120 191210.881 193197.392  1.04%   155 1325s
  5178  3189 191807.818   31  113 191210.881 193197.392  1.04%   155 1330s
  5202  3213 191478.272   33   99 191210.881 193197.392  1.04%   155 1335s
  5238  3232 191299.819   37  107 191210.881 193197.392  1.04%   155 1340s
